Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
13.00,irregular,1.00,215.00,1787.00,1792.00,0.11,0.11,9.29,0.11
13.00,semiregular,1.00,812.00,265.00,271.00,0.75,0.75,1.33,0.75
13.00,regular,2.00,1000.00,97.00,102.00,0.91,0.91,1.10,0.91
13.00,irregular,2.00,215.00,1857.00,1862.00,0.10,0.10,9.62,0.10
13.00,semiregular,2.00,815.00,285.00,290.00,0.74,0.74,1.36,0.74
13.00,regular,3.00,999.00,39.00,45.00,0.96,0.96,1.04,0.96
13.00,irregular,3.00,215.00,1852.00,1856.00,0.10,0.10,9.59,0.10
13.00,semiregular,3.00,815.00,280.00,285.00,0.74,0.74,1.35,0.74
14.00,regular,1.00,1045.00,7.00,12.00,0.99,0.99,1.00,0.99
14.00,irregular,1.00,215.00,1156.00,1162.00,0.16,0.16,6.35,0.16
14.00,semiregular,1.00,908.00,367.00,372.00,0.71,0.71,1.40,0.71
14.00,regular,2.00,1032.00,7.00,28.00,0.99,0.97,0.99,0.98
14.00,irregular,2.00,210.00,1171.00,1173.00,0.15,0.15,6.37,0.15
14.00,semiregular,2.00,913.00,391.00,396.00,0.70,0.70,1.43,0.70
14.00,regular,3.00,1037.00,11.00,17.00,0.99,0.98,1.00,0.99
14.00,irregular,3.00,217.00,1093.00,1093.00,0.17,0.17,6.04,0.17
14.00,semiregular,3.00,906.00,379.00,385.00,0.71,0.70,1.41,0.70
15.00,regular,1.00,958.00,15.00,20.00,0.98,0.98,1.01,0.98
15.00,irregular,1.00,217.00,1233.00,1238.00,0.15,0.15,6.67,0.15
15.00,semiregular,1.00,762.00,244.00,249.00,0.76,0.75,1.31,0.76
15.00,regular,2.00,960.00,29.00,35.00,0.97,0.96,1.03,0.97
15.00,irregular,2.00,216.00,1263.00,1266.00,0.15,0.15,6.80,0.15
15.00,semiregular,2.00,764.00,263.00,268.00,0.74,0.74,1.33,0.74
15.00,regular,3.00,964.00,37.00,42.00,0.96,0.96,1.04,0.96
15.00,irregular,3.00,218.00,1252.00,1257.00,0.15,0.15,6.77,0.15
15.00,semiregular,3.00,770.00,284.00,290.00,0.73,0.73,1.37,0.73
16.00,regular,1.00,1109.00,26.00,31.00,0.98,0.97,1.03,0.97
16.00,irregular,1.00,272.00,1111.00,1116.00,0.20,0.20,5.10,0.20
16.00,semiregular,1.00,673.00,292.00,297.00,0.70,0.69,1.42,0.70
16.00,regular,2.00,1108.00,70.00,75.00,0.94,0.94,1.07,0.94
16.00,irregular,2.00,272.00,1143.00,1147.00,0.19,0.19,5.22,0.19
16.00,semiregular,2.00,676.00,296.00,301.00,0.70,0.69,1.43,0.69
16.00,regular,3.00,1109.00,65.00,70.00,0.94,0.94,1.06,0.94
16.00,irregular,3.00,272.00,1101.00,1107.00,0.20,0.20,5.07,0.20
16.00,semiregular,3.00,677.00,306.00,311.00,0.69,0.69,1.45,0.69
17.00,regular,1.00,1029.00,24.00,29.00,0.98,0.97,1.03,0.97
17.00,irregular,1.00,238.00,1461.00,1466.00,0.14,0.14,7.10,0.14
17.00,semiregular,1.00,825.00,229.00,233.00,0.78,0.78,1.26,0.78
17.00,regular,2.00,1028.00,74.00,80.00,0.93,0.93,1.08,0.93
17.00,irregular,2.00,229.00,1406.00,1411.00,0.14,0.14,6.83,0.14
17.00,semiregular,2.00,820.00,248.00,251.00,0.77,0.77,1.28,0.77
17.00,regular,3.00,1029.00,51.00,56.00,0.95,0.95,1.05,0.95
17.00,irregular,3.00,240.00,1489.00,1494.00,0.14,0.14,7.23,0.14
17.00,semiregular,3.00,825.00,247.00,251.00,0.77,0.77,1.29,0.77
18.00,regular,1.00,1043.00,23.00,27.00,0.98,0.97,1.02,0.98
18.00,irregular,1.00,251.00,1101.00,1106.00,0.19,0.18,5.38,0.19
18.00,semiregular,1.00,788.00,252.00,258.00,0.76,0.75,1.31,0.76
18.00,regular,2.00,1040.00,99.00,105.00,0.91,0.91,1.10,0.91
18.00,irregular,2.00,252.00,1083.00,1087.00,0.19,0.19,5.31,0.19
18.00,semiregular,2.00,791.00,293.00,298.00,0.73,0.73,1.36,0.73
18.00,regular,3.00,1044.00,85.00,90.00,0.92,0.92,1.09,0.92
18.00,irregular,3.00,252.00,1121.00,1127.00,0.18,0.18,5.47,0.18
18.00,semiregular,3.00,793.00,286.00,291.00,0.73,0.73,1.35,0.73
19.00,regular,1.00,1073.00,28.00,33.00,0.97,0.97,1.03,0.97
19.00,irregular,1.00,244.00,944.00,948.00,0.21,0.20,4.87,0.21
19.00,semiregular,1.00,746.00,237.00,242.00,0.76,0.76,1.31,0.76
19.00,regular,2.00,1074.00,101.00,106.00,0.91,0.91,1.10,0.91
19.00,irregular,2.00,244.00,988.00,994.00,0.20,0.20,5.05,0.20
19.00,semiregular,2.00,748.00,272.00,277.00,0.73,0.73,1.36,0.73
19.00,regular,3.00,1073.00,41.00,46.00,0.96,0.96,1.04,0.96
19.00,irregular,3.00,245.00,968.00,972.00,0.20,0.20,4.97,0.20
19.00,semiregular,3.00,747.00,239.00,244.00,0.76,0.75,1.32,0.76
20.00,regular,1.00,1234.00,12.00,19.00,0.99,0.98,1.00,0.99
20.00,irregular,1.00,239.00,1118.00,1124.00,0.18,0.18,5.41,0.18
20.00,semiregular,1.00,825.00,309.00,313.00,0.73,0.72,1.35,0.73
20.00,regular,2.00,1184.00,7.00,121.00,0.99,0.91,0.96,0.95
20.00,irregular,2.00,234.00,1081.00,1085.00,0.18,0.18,5.23,0.18
20.00,semiregular,2.00,829.00,290.00,295.00,0.74,0.74,1.34,0.74
20.00,regular,3.00,1216.00,6.00,59.00,1.00,0.95,0.98,0.97
20.00,irregular,3.00,248.00,1105.00,1110.00,0.18,0.18,5.39,0.18
