Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
16,regular,2,807,8,593,0.9901840490797545,0.5764285714285714,0.7376,0.7286681715575621
16,irregular,2,221,826,830,0.2110792741165234,0.21027592768791628,3.8640,0.21067683508102958
16,semiregular,2,585,149,153,0.7970027247956403,0.7926829268292683,1.0837,0.7948369565217391
16,regular,3,348,2,1517,0.9942857142857143,0.1865951742627346,0.3183,0.31422121896162525
16,irregular,3,139,636,639,0.17935483870967742,0.17866323907455012,2.8603,0.17900837089504185
16,semiregular,3,321,66,651,0.8294573643410853,0.33024691358024694,0.5727,0.4724061810154526
17,regular,1,563,2,927,0.9964601769911504,0.37785234899328857,0.5520,0.5479318734793187
17,irregular,1,156,673,675,0.1881785283474065,0.18772563176895307,3.4625,0.1879518072289157
17,semiregular,1,463,61,684,0.8835877862595419,0.4036617262423714,0.6296,0.5541591861160982
17,regular,2,726,1,601,0.9986244841815681,0.5470987189148455,0.7104,0.7069133398247323
17,irregular,2,188,1026,1029,0.15485996705107083,0.15447822514379622,5.0708,0.15466886055121348
17,semiregular,2,549,82,491,0.8700475435816165,0.5278846153846154,0.7575,0.6570915619389587
17,regular,3,331,1,1393,0.9969879518072289,0.1919953596287703,0.3246,0.32198443579766534
17,irregular,3,131,818,820,0.1380400421496312,0.1377497371188223,3.9625,0.13789473684210526
17,semiregular,3,380,60,851,0.8636363636363636,0.30869212022745735,0.5293,0.45481747456612803
18,regular,1,696,3,689,0.9957081545064378,0.5025270758122744,0.6734,0.6679462571976967
18,irregular,1,163,481,483,0.2531055900621118,0.25232198142414863,2.5635,0.2527131782945737
18,semiregular,1,537,57,469,0.9040404040404041,0.5337972166998012,0.7441,0.67125
18,regular,2,752,3,578,0.9960264900662251,0.5654135338345865,0.7261,0.7213429256594723
18,irregular,2,210,744,747,0.22012578616352202,0.219435736677116,3.7976,0.2197802197802198
18,semiregular,2,674,102,148,0.8685567010309279,0.8199513381995134,0.9738,0.8435544430538173
18,regular,3,453,1,1178,0.9977973568281938,0.27774371551195587,0.4377,0.4345323741007195
18,irregular,3,148,595,597,0.19919246298788695,0.19865771812080538,2.9563,0.19892473118279572
18,semiregular,3,421,43,714,0.9073275862068966,0.37092511013215856,0.5830,0.5265791119449656
19,regular,1,502,2,1144,0.996031746031746,0.30498177399756987,0.4703,0.46697674418604657
19,irregular,1,157,462,464,0.25363489499192243,0.2528180354267311,2.5347,0.25322580645161286
