Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA,,,,
15,regular,3,927,8,63,0.99144385,0.936363636,0.973,0.963116883,,,,
15,irregular,3,205,502,505,0.289957567,0.288732394,3.2569,0.289343684,,,,
15,semiregular,3,726,80,82,0.900744417,0.898514851,1.0439,0.899628253,,,,
16,regular,1,745,2,723,0.997322624,0.507493188,0.6763,0.67268623,,,,
16,irregular,1,178,560,562,0.241192412,0.240540541,2.7206,0.240866035,,,,
16,semiregular,1,485,87,302,0.847902098,0.616264295,0.8443,0.713760118,,,,
16,regular,2,704,4,803,0.994350282,0.467153285,0.6411,0.635665914,,,,
16,irregular,2,164,546,549,0.230985915,0.230014025,2.6213,0.230498946,,,,
16,semiregular,2,481,88,310,0.845342707,0.608091024,0.8385,0.707352941,,,,
16,regular,3,1048,12,107,0.988679245,0.907359307,0.9585,0.946275395,,,,
16,irregular,3,248,432,434,0.364705882,0.363636364,2.5074,0.364170338,,,,
16,semiregular,3,638,88,91,0.878787879,0.875171468,1.0705,0.876975945,,,,
17,regular,1,683,0,688,1,0.498176513,0.6676,0.665043817,,,,
17,irregular,1,128,659,662,0.162642948,0.162025316,3.2917,0.162333545,,,,
17,semiregular,1,582,85,422,0.872563718,0.579681275,0.8005,0.696588869,,,,
17,regular,2,775,0,504,1,0.605942142,0.757,0.754625122,,,,
17,irregular,2,134,700,702,0.160671463,0.160287081,3.4833,0.160479042,,,,
17,semiregular,2,599,74,399,0.890044577,0.600200401,0.8076,0.716935966,,,,
17,regular,3,1017,125,127,0.890542907,0.888986014,1.1118,0.88976378,,,,
17,irregular,3,225,618,620,0.266903915,0.266272189,3.5208,0.266587678,,,,
17,semiregular,3,796,103,105,0.885428254,0.883462819,1.0765,0.884444444,,,,
18,regular,1,776,2,531,0.997429306,0.59372609,0.7481,0.744364508,,,,
18,irregular,1,163,551,553,0.228291317,0.227653631,2.8413,0.227972028,,,,
18,semiregular,1,594,64,347,0.902735562,0.631243358,0.8252,0.742964353,,,,
18,regular,2,651,1,782,0.998466258,0.454291696,0.6274,0.624460432,,,,
18,irregular,2,153,527,529,0.225,0.224340176,2.7063,0.224669604,,,,
18,semiregular,2,562,59,416,0.904991948,0.574642127,0.779,0.702939337,,,,
18,regular,3,956,20,154,0.979508197,0.861261261,0.9368,0.916586769,,,,
18,irregular,3,233,442,444,0.345185185,0.344165436,2.6865,0.344674556,,,,
18,semiregular,3,730,57,83,0.927573062,0.897908979,0.985,0.9125,,,,
19,regular,1,807,1,533,0.998762376,0.602238806,0.7546,0.751396648,,,,
19,irregular,1,128,443,446,0.224168126,0.222996516,2.3429,0.223580786,,,,
19,semiregular,1,526,62,389,0.894557823,0.574863388,0.7849,0.699933466,,,,
19,regular,2,896,1,355,0.998885173,0.716227018,0.8374,0.834264432,,,,
19,irregular,2,168,493,495,0.254160363,0.253393665,2.7061,0.253776435,,,,
19,semiregular,2,599,74,231,0.890044577,0.721686747,0.8977,0.797072522,,,,
19,regular,3,844,1,461,0.998816568,0.646743295,0.7872,0.785116279,,,,
19,irregular,3,215,397,399,0.35130719,0.350162866,2.5061,0.350734095,,,,
19,semiregular,3,619,56,210,0.917037037,0.74668275,0.8991,0.823138298,,,,
20,regular,1,1061,5,369,0.995309568,0.741958042,0.8569,0.850160256,,,,
20,irregular,1,111,480,482,0.187817259,0.187183811,2.3532,0.1875,,,,
20,semiregular,1,631,129,288,0.830263158,0.686615887,0.9073,0.75163788,,,,
20,regular,2,764,3,967,0.996088657,0.441363374,0.6163,0.611689351,,,,
20,irregular,2,138,473,475,0.225859247,0.225122349,2.4325,0.225490196,,,,
20,semiregular,2,573,108,425,0.841409692,0.574148297,0.8133,0.682549136,,,,
20,regular,3,1178,24,119,0.980033278,0.908249807,0.9632,0.942777111,,,,
20,irregular,3,227,451,454,0.33480826,0.333333333,2.7024,0.334069169,,,,
20,semiregular,3,761,112,115,0.871706758,0.868721461,1.0416,0.870211549,,,,
21,regular,1,596,1,644,0.998324958,0.480645161,0.6522,0.64888405,,,,
21,irregular,1,112,496,498,0.184210526,0.183606557,2.9902,0.183908046,,,,
21,semiregular,1,406,137,146,0.747697974,0.735507246,0.9945,0.741552511,,,,
21,regular,2,722,1,393,0.998616874,0.647533632,0.788,0.785636561,,,,
21,irregular,2,149,551,553,0.212857143,0.212250712,3.4412,0.212553495,,,,
21,semiregular,2,486,141,143,0.775119617,0.772655008,1.1457,0.77388535,,,,
21,regular,3,907,250,256,0.783923941,0.779879622,1.2641,0.781896552,,,,
21,irregular,3,199,466,468,0.29924812,0.298350825,3.2696,0.298798799,,,,
21,semiregular,3,500,216,219,0.698324022,0.695410292,1.3097,0.696864111,,,,
22,regular,1,643,8,595,0.987711214,0.519386107,0.6913,0.680783483,,,,
22,irregular,1,139,484,485,0.223113965,0.22275641,2.5263,0.222935044,,,,
22,semiregular,1,480,105,339,0.820512821,0.586080586,0.835,0.683760684,,,,
22,regular,2,787,8,307,0.989937107,0.719378428,0.8436,0.833245103,,,,
22,irregular,2,161,560,562,0.223300971,0.222683264,2.9271,0.22299169,,,,
22,semiregular,2,545,95,218,0.8515625,0.714285714,0.9147,0.776906629,,,,
22,regular,3,870,78,82,0.917721519,0.913865546,1.0063,0.915789474,,,,
22,irregular,3,229,464,466,0.33044733,0.329496403,2.8138,0.329971182,,,,
22,semiregular,3,663,134,136,0.831869511,0.829787234,1.1366,0.830827068,,,,
23,regular,1,335,13,1313,0.962643678,0.203276699,0.3504,0.335671343,,,,
23,irregular,1,119,784,785,0.131782946,0.131637168,3.3985,0.131710017,,,,
23,semiregular,1,326,56,961,0.853403141,0.253302253,0.4587,0.390653086,,,,
23,regular,2,608,13,768,0.979066023,0.441860465,0.6226,0.60891337,,,,
23,irregular,2,73,488,490,0.130124777,0.129662522,2.1165,0.129893238,,,,
23,semiregular,2,233,40,1163,0.853479853,0.166905444,0.3269,0.279209107,,,,
23,regular,3,965,30,35,0.969849246,0.965,1.001,0.967418546,,,,
23,irregular,3,250,842,844,0.228937729,0.228519196,4.1128,0.228728271,,,,
23,semiregular,3,805,140,144,0.851851852,0.848261328,1.1365,0.850052798,,,,
24,regular,1,718,4,715,0.994459834,0.501046755,0.6719,0.666357309,,,,
24,irregular,1,110,667,669,0.141570142,0.141206675,3.1538,0.141388175,,,,
24,semiregular,1,428,53,449,0.88981289,0.488027366,0.7103,0.630338733,,,,
24,regular,2,785,4,580,0.994930292,0.575091575,0.7349,0.728876509,,,,
24,irregular,2,128,743,745,0.14695752,0.146620848,3.5344,0.146788991,,,,
24,semiregular,2,483,61,329,0.887867647,0.594827586,0.8059,0.712389381,,,,
24,regular,3,1070,123,125,0.896898575,0.89539749,1.1075,0.896147404,,,,
24,irregular,3,238,637,640,0.272,0.271070615,3.5547,0.271534512,,,,
24,semiregular,3,655,71,73,0.902203857,0.899725275,1.0706,0.900962861,,,,
25,regular,1,698,1,492,0.998569385,0.586554622,0.7421,0.739015352,,,,
25,irregular,1,106,857,859,0.11007269,0.10984456,4.6618,0.109958506,,,,
25,semiregular,1,510,95,319,0.842975207,0.615199035,0.8454,0.711297071,,,,
25,regular,2,639,1,610,0.9984375,0.511609287,0.6797,0.676548438,,,,
25,irregular,2,99,803,804,0.109756098,0.109634551,4.3623,0.109695291,,,,
25,semiregular,2,483,86,382,0.848857645,0.558381503,0.7953,0.673640167,,,,
25,regular,3,899,2,90,0.997780244,0.908998989,0.9545,0.951322751,,,,
25,irregular,3,173,864,866,0.166827387,0.166506256,5.0193,0.166666667,,,,
25,semiregular,3,591,71,181,0.892749245,0.765544041,0.9248,0.824267782,,,,
26,regular,1,772,4,419,0.994845361,0.648194794,0.7909,0.784951703,,,,
26,irregular,1,127,604,606,0.17373461,0.173260573,3.4252,0.173497268,,,,
