	0.471	-0.519	0.633	1.484	-6.391	8.595
	0.444	-0.516	0.697	1.217	-5.004	6.702
	0.419	-0.513	0.760	0.897	-3.324	4.755
	0.395	-0.511	0.824	0.684	-0.604	2.969
	0.370	-0.509	0.887	0.471	2.116	1.182
	0.372	-0.510	0.887	0.631	3.956	2.835
	0.376	-0.511	0.889	0.657	4.462	3.209
	0.377	-0.513	0.887	1.297	2.622	2.675
	0.377	-0.516	0.887	1.831	0.996	2.009
	0.378	-0.519	0.884	2.257	-0.578	1.289
	0.379	-0.522	0.881	2.684	-2.151	0.569
	0.380	-0.524	0.878	3.111	-3.724	-0.152
	0.380	-0.527	0.875	3.537	-5.298	-0.872
	0.368	-0.517	0.880	3.724	-6.071	-1.805
	0.354	-0.506	0.888	4.071	-6.124	-2.312
	0.341	-0.498	0.895	4.417	-5.138	-2.898
	0.327	-0.492	0.902	4.951	-4.658	-3.485
	0.312	-0.485	0.909	5.537	-4.471	-4.018
	0.296	-0.477	0.915	6.017	-5.324	-4.712
	0.281	-0.469	0.922	6.497	-6.178	-5.405
1	0.789	-0.429	0.726	3.111	34.756	29.795
