Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
4,regular,1,581,1,1036,0.9982817869415808,0.3593073593073593,0.5313,0.5284220100045475
4,irregular,1,53,236,238,0.18339100346020762,0.18213058419243985,1.2763,0.18275862068965518
4,semiregular,1,311,83,521,0.7893401015228426,0.3737980769230769,0.6450,0.5073409461663947
4,regular,2,625,2,947,0.9968102073365231,0.3975826972010178,0.5722,0.5684402000909504
4,irregular,2,99,261,263,0.275,0.27348066298342544,1.5877,0.27423822714681445
4,semiregular,2,349,71,457,0.830952380952381,0.43300248138957814,0.6873,0.5693311582381729
4,regular,3,1051,2,97,0.9981006647673314,0.9155052264808362,0.9573,0.955020445252158
4,irregular,3,184,170,172,0.519774011299435,0.5168539325842697,1.5614,0.5183098591549296
4,semiregular,3,536,56,98,0.9054054054054054,0.8454258675078864,0.9674,0.8743882544861338
5,regular,1,655,1,774,0.9984756097560976,0.45836249125262424,0.6312,0.6282973621103117
5,irregular,1,69,321,323,0.17692307692307693,0.1760204081632653,1.8065,0.17647058823529413
5,semiregular,1,354,99,527,0.7814569536423841,0.4018161180476731,0.6811,0.5307346326836582
5,regular,2,781,1,521,0.9987212276214834,0.5998463901689708,0.7529,0.7495201535508637
5,irregular,2,27,170,209,0.13705583756345177,0.11440677966101695,0.9124,0.12471131639722864
5,semiregular,2,448,123,315,0.7845884413309983,0.5871559633027523,0.8578,0.671664167916042
5,regular,3,1043,4,5,0.9961795606494747,0.9952290076335878,1.0038,0.9957040572792362
5,irregular,3,188,165,166,0.5325779036827195,0.5310734463276836,1.6313,0.5318246110325319
5,semiregular,3,630,82,83,0.8848314606741573,0.8835904628330996,1.0674,0.8842105263157894
6,regular,1,560,1,706,0.9982174688057041,0.4423380726698262,0.6164,0.6130268199233716
6,irregular,1,44,251,252,0.14915254237288136,0.14864864864864866,1.5179,0.14890016920473773
6,semiregular,1,344,53,659,0.8664987405541562,0.34297108673978066,0.5692,0.4914285714285715
6,regular,2,703,0,420,1.0,0.6260017809439002,0.7727,0.7699890470974808
6,irregular,2,54,93,186,0.3673469387755102,0.225,0.7692,0.27906976744186046
6,semiregular,2,471,58,402,0.8903591682419659,0.5395189003436426,0.7546,0.6718972895863052
6,regular,3,896,5,32,0.9944506104328524,0.9655172413793104,0.9858,0.9797703663203936
6,irregular,3,168,132,133,0.56,0.5581395348837209,1.5436,0.5590682196339434
6,semiregular,3,644,47,66,0.9319826338639653,0.9070422535211268,0.9872,0.9193433261955747
7,regular,1,445,3,1566,0.9933035714285714,0.22128294380905023,0.3650,0.36193574623830826
7,irregular,1,43,263,265,0.14052287581699346,0.1396103896103896,1.3689,0.14006514657980457
7,semiregular,1,106,14,1295,0.8833333333333333,0.07566024268379729,0.1577,0.13938198553583167
7,regular,2,753,0,951,1.0,0.44190140845070425,0.6146,0.612942612942613
7,irregular,2,61,376,378,0.13958810068649885,0.13895216400911162,1.9511,0.13926940639269408
7,semiregular,2,391,75,663,0.8390557939914163,0.3709677419354839,0.6150,0.5144736842105263
7,regular,3,1202,3,52,0.9975103734439834,0.9585326953748007,0.9805,0.9776331842212281
7,irregular,3,188,226,228,0.45410628019323673,0.4519230769230769,1.8489,0.45301204819277113
7,semiregular,3,679,74,88,0.9017264276228419,0.8852672750977836,0.9921,0.8934210526315789
8,regular,1,619,0,829,1.0,0.42748618784530384,0.6010,0.5989356555394292
8,irregular,1,40,313,312,0.11331444759206799,0.11363636363636363,1.4568,0.11347517730496454
8,semiregular,1,507,64,573,0.8879159369527145,0.46944444444444444,0.6941,0.6141732283464566
8,regular,2,814,0,438,1.0,0.6501597444089456,0.7903,0.7879961277831559
8,irregular,2,19,232,234,0.07569721115537849,0.07509881422924901,1.0412,0.0753968253968254
8,semiregular,2,578,74,422,0.8865030674846626,0.578,0.7908,0.6997578692493946
8,regular,3,1022,4,20,0.9961013645224172,0.980806142034549,0.9932,0.988394584139265
8,irregular,3,203,163,164,0.5546448087431693,0.553133514986376,1.5103,0.553888130968622
8,semiregular,3,764,65,66,0.9215922798552473,0.9204819277108434,1.0036,0.9210367691380349
9,regular,1,785,1,639,0.9987277353689568,0.5512640449438202,0.7136,0.7104072398190046
9,irregular,1,46,299,300,0.13333333333333333,0.1329479768786127,1.3008,0.13314037626628075
9,semiregular,1,412,44,531,0.9035087719298246,0.4369034994697773,0.6548,0.5889921372408864
9,regular,2,960,0,289,1.0,0.7686148919135308,0.8717,0.8691715708465368
9,irregular,2,69,473,474,0.12730627306273062,0.1270718232044199,2.0414,0.1271889400921659
9,semiregular,2,461,50,427,0.9021526418786693,0.5191441441441441,0.7332,0.6590421729807004
9,regular,3,1103,46,48,0.9599651871192341,0.9582971329278888,1.0397,0.9591304347826086
9,irregular,3,227,222,223,0.5055679287305123,0.5044444444444445,1.6917,0.5050055617352613
9,semiregular,3,633,26,109,0.960546282245827,0.8530997304582211,0.9415,0.9036402569593148
10,regular,1,630,11,754,0.982839313572543,0.4552023121387283,0.6351,0.6222222222222221
10,irregular,1,84,325,326,0.20537897310513448,0.2048780487804878,1.6599,0.2051282051282051
10,semiregular,1,349,51,560,0.8725,0.38393839383938394,0.6143,0.5332314744079449
10,regular,2,735,12,543,0.9839357429718876,0.5751173708920188,0.7396,0.7259259259259259
10,irregular,2,38,229,230,0.14232209737827714,0.1417910447761194,1.0850,0.14205607476635515
10,semiregular,2,370,43,527,0.8958837772397095,0.4124860646599777,0.6326,0.5648854961832062
10,regular,3,1014,49,51,0.9539040451552211,0.952112676056338,1.0503,0.9530075187969925
10,irregular,3,214,66,67,0.7642857142857142,0.7615658362989324,1.1377,0.7629233511586452
10,semiregular,3,578,44,110,0.9292604501607717,0.8401162790697675,0.9512,0.8824427480916031
11,regular,1,651,1,834,0.9984662576687117,0.4383838383838384,0.6121,0.6092653252222742
11,irregular,1,63,329,331,0.16071428571428573,0.1598984771573604,1.6485,0.1603053435114504
11,semiregular,1,406,94,492,0.812,0.4521158129175947,0.7171,0.580829756795422
11,regular,2,759,0,619,1.0,0.5507982583454282,0.7121,0.7103416003743567
11,irregular,2,1,128,343,0.007751937984496124,0.0029069767441860465,0.5397,0.004228329809725159
11,semiregular,2,327,70,674,0.8236775818639799,0.32667332667332666,0.5700,0.4678111587982833
11,regular,3,1064,6,8,0.994392523364486,0.9925373134328358,1.0019,0.9934640522875817
11,irregular,3,204,161,162,0.5589041095890411,0.5573770491803278,1.5314,0.5581395348837208
11,semiregular,3,628,62,81,0.9101449275362319,0.8857545839210155,0.9871,0.8977841315225161
12,regular,1,672,1,666,0.9985141158989599,0.5022421524663677,0.6713,0.6683242168075584
12,irregular,1,62,354,355,0.14903846153846154,0.1486810551558753,2.0441,0.148859543817527
12,semiregular,1,367,90,456,0.8030634573304157,0.4459295261239368,0.7161,0.5734375
12,regular,2,663,1,685,0.9984939759036144,0.491839762611276,0.6614,0.6590457256461232
12,irregular,2,29,293,294,0.09006211180124224,0.08978328173374613,1.5833,0.08992248062015505
12,semiregular,2,372,94,442,0.7982832618025751,0.457002457002457,0.7301,0.5812499999999999
12,regular,3,933,0,143,1.0,0.8671003717472119,0.9315,0.9288203086112494
12,irregular,3,177,184,185,0.4903047091412742,0.4889502762430939,1.7745,0.4896265560165975
12,semiregular,3,580,74,76,0.8868501529051988,0.8841463414634146,1.0234,0.8854961832061069
13,regular,1,822,0,352,1.0,0.7001703577512777,0.8260,0.8236472945891784
